model,forecast_date,indicator,filename,first_commit,latest_commit,source,diff,retrospective,status
KIT-simple_nowcast,2025-02-06,are,2025-02-06-agi-are-KIT-simple_nowcast.csv,2025-02-07,2025-02-07,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-02-06,are,2025-02-06-agi-are-MPIDS-PS_embedding.csv,2025-02-06,2025-06-10,agi,124,TRUE,Prospective
KIT-LightGBM,2025-02-13,are,2025-02-13-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,70,TRUE,Retrospective
KIT-TSMixer,2025-02-13,are,2025-02-13-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,74,TRUE,Retrospective
KIT-hhh4,2025-02-13,are,2025-02-13-agi-are-KIT-hhh4.csv,2025-02-14,2025-06-10,agi,117,TRUE,Prospective
KIT-simple_nowcast,2025-02-13,are,2025-02-13-agi-are-KIT-simple_nowcast.csv,2025-02-14,2025-02-14,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-02-13,are,2025-02-13-agi-are-MPIDS-PS_embedding.csv,2025-02-13,2025-06-10,agi,117,TRUE,Prospective
KIT-LightGBM,2025-02-20,are,2025-02-20-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,63,TRUE,Retrospective
KIT-TSMixer,2025-02-20,are,2025-02-20-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,67,TRUE,Retrospective
KIT-hhh4,2025-02-20,are,2025-02-20-agi-are-KIT-hhh4.csv,2025-02-21,2025-06-10,agi,110,TRUE,Prospective
KIT-simple_nowcast,2025-02-20,are,2025-02-20-agi-are-KIT-simple_nowcast.csv,2025-02-21,2025-02-21,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-02-20,are,2025-02-20-agi-are-MPIDS-PS_embedding.csv,2025-02-20,2025-06-10,agi,110,TRUE,Prospective
KIT-LightGBM,2025-02-27,are,2025-02-27-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,56,TRUE,Retrospective
KIT-TSMixer,2025-02-27,are,2025-02-27-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,60,TRUE,Retrospective
KIT-hhh4,2025-02-27,are,2025-02-27-agi-are-KIT-hhh4.csv,2025-02-28,2025-06-10,agi,103,TRUE,Prospective
KIT-simple_nowcast,2025-02-27,are,2025-02-27-agi-are-KIT-simple_nowcast.csv,2025-02-28,2025-02-28,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-02-27,are,2025-02-27-agi-are-MPIDS-PS_embedding.csv,2025-02-27,2025-06-10,agi,103,TRUE,Prospective
KIT-LightGBM,2025-03-06,are,2025-03-06-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,49,TRUE,Retrospective
KIT-TSMixer,2025-03-06,are,2025-03-06-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,53,TRUE,Retrospective
KIT-hhh4,2025-03-06,are,2025-03-06-agi-are-KIT-hhh4.csv,2025-03-06,2025-06-10,agi,96,TRUE,Prospective
KIT-simple_nowcast,2025-03-06,are,2025-03-06-agi-are-KIT-simple_nowcast.csv,2025-03-06,2025-03-06,agi,0,FALSE,Prospective
MPIDS-PS_embedding,2025-03-06,are,2025-03-06-agi-are-MPIDS-PS_embedding.csv,2025-03-06,2025-06-10,agi,96,TRUE,Prospective
KIT-LightGBM,2025-03-13,are,2025-03-13-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,42,TRUE,Retrospective
KIT-TSMixer,2025-03-13,are,2025-03-13-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,46,TRUE,Retrospective
KIT-hhh4,2025-03-13,are,2025-03-13-agi-are-KIT-hhh4.csv,2025-03-14,2025-06-10,agi,89,TRUE,Prospective
KIT-simple_nowcast,2025-03-13,are,2025-03-13-agi-are-KIT-simple_nowcast.csv,2025-03-14,2025-03-14,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-03-13,are,2025-03-13-agi-are-MPIDS-PS_embedding.csv,2025-03-22,2025-06-10,agi,89,TRUE,Prospective
KIT-LightGBM,2025-03-20,are,2025-03-20-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,35,TRUE,Retrospective
KIT-TSMixer,2025-03-20,are,2025-03-20-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,39,TRUE,Retrospective
KIT-hhh4,2025-03-20,are,2025-03-20-agi-are-KIT-hhh4.csv,2025-03-20,2025-06-10,agi,82,TRUE,Prospective
KIT-simple_nowcast,2025-03-20,are,2025-03-20-agi-are-KIT-simple_nowcast.csv,2025-03-20,2025-03-20,agi,0,FALSE,Prospective
MPIDS-PS_embedding,2025-03-20,are,2025-03-20-agi-are-MPIDS-PS_embedding.csv,2025-03-20,2025-06-10,agi,82,TRUE,Prospective
KIT-LightGBM,2025-03-27,are,2025-03-27-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,28,TRUE,Retrospective
KIT-TSMixer,2025-03-27,are,2025-03-27-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,32,TRUE,Retrospective
KIT-hhh4,2025-03-27,are,2025-03-27-agi-are-KIT-hhh4.csv,2025-03-28,2025-06-10,agi,75,TRUE,Prospective
KIT-simple_nowcast,2025-03-27,are,2025-03-27-agi-are-KIT-simple_nowcast.csv,2025-03-28,2025-03-28,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-03-27,are,2025-03-27-agi-are-MPIDS-PS_embedding.csv,2025-03-27,2025-06-10,agi,75,TRUE,Prospective
KIT-LightGBM,2024-10-17,sari,2024-10-17-icosari-sari-KIT-LightGBM.csv,2024-10-17,2024-10-17,icosari,0,FALSE,Prospective
KIT-TSMixer,2024-10-17,sari,2024-10-17-icosari-sari-KIT-TSMixer.csv,2024-10-17,2024-10-17,icosari,0,FALSE,Prospective
KIT-hhh4,2024-10-17,sari,2024-10-17-icosari-sari-KIT-hhh4.csv,2024-10-17,2024-10-17,icosari,0,FALSE,Prospective
KIT-simple_nowcast,2024-10-17,sari,2024-10-17-icosari-sari-KIT-simple_nowcast.csv,2024-10-17,2024-10-17,icosari,0,FALSE,Prospective
MPIDS-PS_embedding,2024-10-17,sari,2024-10-17-icosari-sari-MPIDS-PS_embedding.csv,2024-10-18,2024-10-18,icosari,1,FALSE,Prospective
KIT-epinowcast,2024-10-17,sari,2024-10-17-icosari-sari-KIT-epinowcast.csv,2025-05-21,2025-05-21,icosari,216,TRUE,Retrospective
RIVM-GAM,2024-10-17,sari,2024-10-17-icosari-sari-RIVM-GAM.csv,2024-10-18,2024-10-18,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-10-17,sari,2024-10-17-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,230,TRUE,Retrospective
KIT-LightGBM,2024-10-24,sari,2024-10-24-icosari-sari-KIT-LightGBM.csv,2024-10-25,2024-10-25,icosari,1,FALSE,Prospective
KIT-TSMixer,2024-10-24,sari,2024-10-24-icosari-sari-KIT-TSMixer.csv,2024-10-25,2024-10-25,icosari,1,FALSE,Prospective
KIT-hhh4,2024-10-24,sari,2024-10-24-icosari-sari-KIT-hhh4.csv,2024-10-24,2024-10-24,icosari,0,FALSE,Prospective
KIT-simple_nowcast,2024-10-24,sari,2024-10-24-icosari-sari-KIT-simple_nowcast.csv,2024-10-24,2024-10-24,icosari,0,FALSE,Prospective
MPIDS-PS_embedding,2024-10-24,sari,2024-10-24-icosari-sari-MPIDS-PS_embedding.csv,2024-11-05,2024-11-05,icosari,12,TRUE,Retrospective
KIT-epinowcast,2024-10-24,sari,2024-10-24-icosari-sari-KIT-epinowcast.csv,2024-10-24,2024-10-24,icosari,0,FALSE,Prospective
RIVM-GAM,2024-10-24,sari,2024-10-24-icosari-sari-RIVM-GAM.csv,2024-10-25,2024-10-25,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-10-24,sari,2024-10-24-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,223,TRUE,Retrospective
KIT-LightGBM,2024-10-31,sari,2024-10-31-icosari-sari-KIT-LightGBM.csv,2024-11-01,2024-11-01,icosari,1,FALSE,Prospective
KIT-TSMixer,2024-10-31,sari,2024-10-31-icosari-sari-KIT-TSMixer.csv,2024-11-01,2024-11-01,icosari,1,FALSE,Prospective
KIT-hhh4,2024-10-31,sari,2024-10-31-icosari-sari-KIT-hhh4.csv,2024-11-01,2024-11-01,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2024-10-31,sari,2024-10-31-icosari-sari-KIT-simple_nowcast.csv,2024-11-01,2024-11-01,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2024-10-31,sari,2024-10-31-icosari-sari-MPIDS-PS_embedding.csv,2024-11-04,2024-11-05,icosari,5,FALSE,Prospective
KIT-epinowcast,2024-10-31,sari,2024-10-31-icosari-sari-KIT-epinowcast.csv,2024-11-01,2024-11-01,icosari,1,FALSE,Prospective
RIVM-GAM,2024-10-31,sari,2024-10-31-icosari-sari-RIVM-GAM.csv,2024-11-01,2024-11-01,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-10-31,sari,2024-10-31-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,216,TRUE,Retrospective
KIT-LightGBM,2024-11-07,sari,2024-11-07-icosari-sari-KIT-LightGBM.csv,2024-11-08,2024-11-08,icosari,1,FALSE,Prospective
KIT-TSMixer,2024-11-07,sari,2024-11-07-icosari-sari-KIT-TSMixer.csv,2024-11-08,2024-11-08,icosari,1,FALSE,Prospective
